nomeç;çprecoç;çfoto
teste 5 Câmera IP Wi-Fi Auto-Tracking Ípega KP-CA178 FullHD Reconhecimento Facial Zoom 10xç;çR$ 175,00ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/163583-292-292/ipega-kpca178.jpg?v=637723191139000000
Câmera IP Wifi Detecção De Movimento HD 720P Com Áudio E Entrada Cartão 64GBç;çR$ 79,90ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/159718-292-292/camera-ip.jpg?v=636740975462600000
Câmera Ip Wi-fi 3 Antenas FullHD Ípega KP-CA127ç;çR$ 124,20ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/162646-292-292/camera-3-antenas-kp-ca-127-ipega.jpg?v=637477860336170000
Kit Câmera IP Intelbras Wi Fi HD 720p + Cartão de Memória Micro SD Sandisk 128GBç;çR$ 723,85ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164447-292-292/511295.jpg?v=638031636766600000
Kit Câmera IP Intelbras Wi Fi HD 720p + Cartão de Memória Micro SD Sandisk 64GBç;çR$ 649,92ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164446-292-292/511294.jpg?v=638031632551130000
Kit Câmera IP Intelbras Wi Fi HD 720p + Cartão de Memória Micro SD Ípega 16GBç;çR$ 611,12ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164444-292-292/511292.jpg?v=638031611827530000
Kit Câmera IP Intelbras Wi Fi HD 720p + Cartão de Memória Micro SD Ípega 8GBç;çR$ 604,58ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164443-292-292/511291.jpg?v=638031606258370000
Câmera Ip Intelbras Wi-Fi HD IM5 SCç;çR$ 563,60ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164441-292-292/4565511_01.jpg?v=638031599833000000
Sensor Alarme infravermelho wifi Lider SPI 9000 Uso internoç;çR$ 122,60ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/163941-292-292/21324_01.jpg?v=637810724824730000
Sensor Pet Infravermelho Passivo Lider SPI 8000 sem fioç;çR$ 74,10ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/163691-292-292/LIDER-SPI-8000-S-FIO_01.jpg?v=637756076108230000
Kit Central de Alarme WiFi KT1001 Lider - Fácil Instalaçãoç;çR$ 506,00ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/163679-292-292/KT1001_01.jpg?v=637751936275270000
Cabo para Alarme 50X04 100M - Multitocç;çR$ 53,20ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/161503-292-292/cabo-alarme.jpg?v=637140925302970000
Mini Sensor Magnético de Sobrepor MSA - Stilusç;çR$ 10,70ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/161467-292-292/mini-sensor-sobrepor.jpg?v=637139381819070000
Central de Choque e Alarme Líder com Wi-Fi SH1800Wç;çR$ 293,10ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/161417-292-292/central-cerca-alarme.jpg?v=637130584293600000
Sensor de Presença Passivo IVP 5002 PET Intelbrasç;çR$ 114,90ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/161032-292-292/sensor-pet-5002-intelbras.jpg?v=637113209060430000
Botoeira com Fio Black IPECç;çR$ 18,20ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/160648-292-292/botoeira-black-com-fio-BLACK.jpg?v=637082230427870000
Sensor de Presença Din Dong It-Blue SD-300Dç;çR$ 30,80ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164226-292-292/39300_01.jpg?v=638010075185900000
Fechadura Digital F(M)007-0A Preta (Biometria + Cartão + Chave + Senha Numérica + Bluetooth)ç;çR$ 269,20ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164195-292-292/26001_03.jpg?v=638004911049500000
Fechadura Smart de Embutir com Maçaneta Intelbras IFR 7000ç;çR$ 2484,50ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164121-292-292/27134_01.png?v=637997973730170000
Fechadura Digital Biométrica Athenas para Portas de Madeira PRIMEBRASç;çR$ 583,10ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164068-292-292/35001.png?v=637953218819800000
Grade de Proteção Quadrada Branca com Cobertura LS-1089ç;çR$ 40,00ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164063-292-292/31870.png?v=637946538959800000
Fechadura Digital Biométrica Dubai P6004 PRIMEBRASç;çR$ 1223,10ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164061-292-292/22481.png?v=637946530373800000
Controle de acesso Facial com Video Porteiro Hikvision DS-K1T671MF-L (O-STD)ç;çR$ 2161,40ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164028-292-292/1-DS-K1T671MF-L.png?v=637908359959930000
Módulo mini Wi-Fi Nova Digital de 1  canalç;çR$ 58,50ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/163943-292-292/31104_01.jpg?v=637811478100130000
Video Porteiro Hikvision Full HD WiFi DS-KV6113-WPE1 (B)ç;çR$ 850,80ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164155-292-292/26113_01.jpg?v=637999750265770000
Vídeo Porteiro Hikvision HD WiFi DS-KH6320-WTE1 (Somente Monitor)ç;çR$ 645,10ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164152-292-292/26320_01.jpg?v=637999727942170000
Protetor de Vídeo Porteiro Universal LS-1009 Pretoç;çR$ 38,30ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164060-292-292/31915.png?v=637946485767100000
Porteiro Eletrônico Lider LR-521  Babyç;çR$ 145,70ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/163682-292-292/LR-521-BABY_01.jpg?v=637752652266530000
Telefone Gondola Multitoc Babyç;çR$ 59,60ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/163572-292-292/Telefone-Gondola-Multitoc-Baby02.jpg?v=637709469232800000
Kit Porteiro Coletivo Líder Smart 4 pontos LR-804 + 2 Interfones Universal Líder LR 2015ç;çR$ 491,40ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/160276-292-292/87296.jpg?v=636996850327400000
Kit Porteiro Coletivo Líder Smart 4 Pontos LR-804 + Interfone Universal Líder LR 2015ç;çR$ 555,80ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/160275-292-292/87293.jpg?v=636996834692700000
Kit Porteiro Eletrônico Lider LR-570 Smart + Fechadura Lider LR 120S + 2 Interfones Lider LR 2015ç;çR$ 462,70ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/160270-292-292/573962.jpg?v=636996777502530000
Conversor e Gravador Digital Aquário DTV-9000ç;çR$ 149,80ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164206-292-292/10142.jpg?v=638005703705200000
Suporte para TV de Teto LED, LCD, Plasma, 3D e Smart TV de 10” a 55”  Brasforma SBRP150ç;çR$ 184,90ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164072-292-292/9795.png?v=637953249569300000
Antena Externa LOG LTE-1014S 3D HDTV Full HD 4K UHF Digital Brasformaç;çR$ 24,90ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164067-292-292/97956.png?v=637953209438870000
Suporte Fixo Universal para TV Ultra Slim LED LCD 10'' a 85'' Brasforma SBRU859ç;çR$ 19,50ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164057-292-292/97951.png?v=637943725692330000
Suporte para TV Articulado LED, LCD, Plasma, 3D e Smart TV de 10” a 56”  Brasforma BRA3.0ç;çR$ 63,80ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164052-292-292/97954.png?v=637943702705970000
Suporte para TV Articulado LED, LCD, Plasma, 3D e Smart TV de 10” a 56”  Brasforma BRA4.0ç;çR$ 96,40ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164047-292-292/97953.png?v=637939404042300000
Antena Interna Digital Omnidirecional UHF e HDTV SHD-500 Brasformaç;çR$ 31,70ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164045-292-292/97955.png?v=637939392243200000
Suporte para TV Fixo Universal de 10" a 71" LED, LCD, Plasma, 3D e Smart TV  Brasforma  SBRU750ç;çR$ 12,90ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164032-292-292/97952-01.jpg?v=637927384478000000
Bobina Cabo De Rede Copperlan/Copperlink Cat 5e Azul Bic 305mç;çR$ 718,90ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164289-292-292/72533.jpg?v=638022994671600000
Cartão De Memória Sandisk Ultra Micro SD 128GBç;çR$ 122,30ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164260-292-292/89005.jpg?v=638018054467430000
Mini Subwoofer Knup 2.1 Bluetooth com Entrada USB/RCA/P2 KP-6018BHç;çR$ 96,70ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164209-292-292/91015.jpg?v=638005914784970000
Estabilizador TS Shara 300VA Mono 115Vç;çR$ 157,20ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164208-292-292/35061.jpg?v=638005863541500000
HD 160 GBç;çR$ 46,20ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164095-292-292/2164.jpg?v=637979965100100000
Monitor Led 22'' com Alto Falantes HD 1080p Ipega KP-CA604ç;çR$ 921,50ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164091-292-292/21604.png?v=637976367221670000
Estabilizador Powerest 300VA Monovolt 220V 4 Tomadas 9119 TS SHARAç;çR$ 150,40ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164064-292-292/91191.png?v=637953200196400000
Mini Conversor HDMI x VGA Knup KP-AD115ç;çR$ 21,50ç;çhttps://portaldascameras.vteximg.com.br/arquivos/ids/164008-292-292/23115_01.jpg?v=637824471285500000
